,country_x,region_x,percent_mc,percent_cli,survey_date
0,Brazil,Rio de Janeiro,0.740883,0.031122,20200501
1,Brazil,Rio de Janeiro,0.719302,0.050457,20200502
2,Brazil,Rio de Janeiro,0.790937,0.034705,20200503
3,Brazil,Rio de Janeiro,0.788841,0.025081,20200504
4,Brazil,Rio de Janeiro,0.777742,0.035082,20200505
5,Brazil,Rio de Janeiro,0.778617,0.029464,20200506
6,Brazil,Rio de Janeiro,0.800107,0.016563,20200507
7,Brazil,Rio de Janeiro,0.820419,0.019609,20200508
8,Brazil,Rio de Janeiro,0.796522,0.018581,20200509
9,Brazil,Rio de Janeiro,0.789445,0.026624,20200510
10,Brazil,Rio de Janeiro,0.829771,0.022396,20200511
11,Brazil,Rio de Janeiro,0.840382,0.019463,20200512
12,Brazil,Rio de Janeiro,0.794131,0.017618,20200513
13,Brazil,Rio de Janeiro,0.797238,0.020757,20200514
14,Brazil,Rio de Janeiro,0.821875,0.025441,20200515
15,Brazil,Rio de Janeiro,0.784681,0.025787,20200516
16,Brazil,Rio de Janeiro,0.826803,0.028634,20200517
17,Brazil,Rio de Janeiro,0.805412,0.016232,20200518
18,Brazil,Rio de Janeiro,0.790035,0.022488,20200519
19,Brazil,Rio de Janeiro,0.836751,0.01771,20200520
20,Brazil,Rio de Janeiro,0.841145,0.007715,20200521
21,Brazil,Rio de Janeiro,0.789108,0.024161,20200522
22,Brazil,Rio de Janeiro,0.826812,0.020215,20200523
23,Brazil,Rio de Janeiro,0.813237,0.01811,20200524
24,Brazil,Rio de Janeiro,0.826686,0.015526,20200525
25,Brazil,Rio de Janeiro,0.769173,0.013175,20200526
26,Brazil,Rio de Janeiro,0.827222,0.022351,20200527
27,Brazil,Rio de Janeiro,0.837585,0.023221,20200528
28,Brazil,Rio de Janeiro,0.82178,0.012718,20200529
29,Brazil,Rio de Janeiro,0.842289,0.014097,20200530
30,Brazil,Rio de Janeiro,0.805652,0.019654,20200531
31,Brazil,Rio de Janeiro,0.815176,0.012461,20200601
32,Brazil,Rio de Janeiro,0.843504,0.017259,20200602
33,Brazil,Rio de Janeiro,0.842829,0.021066,20200603
34,Brazil,Rio de Janeiro,0.830506,0.012883,20200604
35,Brazil,Rio de Janeiro,0.864329,0.021874,20200605
36,Brazil,Rio de Janeiro,0.858009,0.020052,20200606
37,Brazil,Rio de Janeiro,0.865024,0.014971,20200607
38,Brazil,Rio de Janeiro,0.81148,0.014533,20200608
39,Brazil,Rio de Janeiro,0.832901,0.018964,20200609
40,Brazil,Rio de Janeiro,0.847008,0.016668,20200610
41,Brazil,Rio de Janeiro,0.850274,0.017039,20200611
42,Brazil,Rio de Janeiro,0.817018,0.005775,20200612
43,Brazil,Rio de Janeiro,0.846512,0.014424,20200613
44,Brazil,Rio de Janeiro,0.851023,0.016692,20200614
45,Brazil,Rio de Janeiro,0.845963,0.00629,20200615
46,Brazil,Rio de Janeiro,0.839483,0.012342,20200616
47,Brazil,Rio de Janeiro,0.870016,0.009045,20200617
48,Brazil,Rio de Janeiro,0.824744,0.010721,20200618
49,Brazil,Rio de Janeiro,0.84581,0.017163,20200619
50,Brazil,Rio de Janeiro,0.843386,0.01577,20200620
51,Brazil,Rio de Janeiro,0.832527,0.015604,20200621
52,Brazil,Rio de Janeiro,0.808259,0.0236,20200622
53,Brazil,Rio de Janeiro,0.879544,0.016614,20200623
54,Brazil,Rio de Janeiro,0.848432,0.011847,20200624
55,Brazil,Rio de Janeiro,0.857564,0.017504,20200625
56,Brazil,Rio de Janeiro,0.827765,0.008866,20200626
57,Brazil,Rio de Janeiro,0.816239,0.009106,20200627
58,Brazil,Rio de Janeiro,0.855179,0.011092,20200628
59,Brazil,Rio de Janeiro,0.853432,0.009839,20200629
60,Brazil,Rio de Janeiro,0.859103,0.011661,20200630
61,Brazil,Rio de Janeiro,0.830149,0.014663,20200701
62,Brazil,Rio de Janeiro,0.854562,0.009298,20200702
63,Brazil,Rio de Janeiro,0.853511,0.009476,20200703
64,Brazil,Rio de Janeiro,0.884637,0.011053,20200704
65,Brazil,Rio de Janeiro,0.865548,0.013713,20200705
66,Brazil,Rio de Janeiro,0.841174,0.004838,20200706
67,Brazil,Rio de Janeiro,0.824136,0.009051,20200707
68,Brazil,Rio de Janeiro,0.837249,0.023296,20200708
69,Brazil,Rio de Janeiro,0.873651,0.0125,20200709
70,Brazil,Rio de Janeiro,0.858172,0.007989,20200710
71,Brazil,Rio de Janeiro,0.850712,0.01688,20200711
72,Brazil,Rio de Janeiro,0.84582,0.021915,20200712
73,Brazil,Rio de Janeiro,0.846616,0.014465,20200713
74,Brazil,Rio de Janeiro,0.886317,0.011013,20200714
75,Brazil,Rio de Janeiro,0.833703,0.009198,20200715
76,Brazil,Rio de Janeiro,0.856004,0.012966,20200716
77,Brazil,Rio de Janeiro,0.853653,0.018174,20200717
78,Brazil,Rio de Janeiro,0.880727,0.011052,20200718
79,Brazil,Rio de Janeiro,0.838831,0.011496,20200719
80,Brazil,Rio de Janeiro,0.853814,0.019757,20200720
81,Brazil,Rio de Janeiro,0.843248,0.012937,20200721
82,Brazil,Rio de Janeiro,0.838129,0.01778,20200722
