,country_x,region_x,percent_mc,percent_cli,survey_date
0,Canada,Ontario,0.339111,0.008777,20200501
1,Canada,Ontario,0.397362,0.0041,20200502
2,Canada,Ontario,0.346425,0.0,20200503
3,Canada,Ontario,0.3767,0.003202,20200504
4,Canada,Ontario,0.379637,0.009113,20200505
5,Canada,Ontario,0.390593,0.00141,20200506
6,Canada,Ontario,0.365584,0.009754,20200507
7,Canada,Ontario,0.368045,0.004862,20200508
8,Canada,Ontario,0.391676,0.010587,20200509
9,Canada,Ontario,0.439984,0.000491,20200510
10,Canada,Ontario,0.385273,0.007034,20200511
11,Canada,Ontario,0.381283,0.006351,20200512
12,Canada,Ontario,0.435129,0.005578,20200513
13,Canada,Ontario,0.405531,0.012499,20200514
14,Canada,Ontario,0.428262,0.00456,20200515
15,Canada,Ontario,0.415669,0.014164,20200516
16,Canada,Ontario,0.449354,0.000965,20200517
17,Canada,Ontario,0.411732,0.008001,20200518
18,Canada,Ontario,0.429732,0.002559,20200519
19,Canada,Ontario,0.427651,0.004078,20200520
20,Canada,Ontario,0.426349,0.010846,20200521
21,Canada,Ontario,0.431164,0.007472,20200522
22,Canada,Ontario,0.472244,0.002457,20200523
23,Canada,Ontario,0.492894,0.0,20200524
24,Canada,Ontario,0.448883,0.013465,20200525
25,Canada,Ontario,0.499655,0.006837,20200526
26,Canada,Ontario,0.467806,0.004894,20200527
27,Canada,Ontario,0.500285,0.001913,20200528
28,Canada,Ontario,0.538636,0.012858,20200529
29,Canada,Ontario,0.491987,0.001086,20200530
30,Canada,Ontario,0.511204,0.001175,20200531
31,Canada,Ontario,0.460077,0.015531,20200601
32,Canada,Ontario,0.513468,0.001773,20200602
33,Canada,Ontario,0.523903,0.001295,20200603
34,Canada,Ontario,0.517814,0.0,20200604
35,Canada,Ontario,0.544467,0.010815,20200605
36,Canada,Ontario,0.568496,0.005636,20200606
37,Canada,Ontario,0.48455,0.001444,20200607
38,Canada,Ontario,0.534078,0.008879,20200608
39,Canada,Ontario,0.54537,0.00442,20200609
40,Canada,Ontario,0.498198,0.00284,20200610
41,Canada,Ontario,0.537967,0.0,20200611
42,Canada,Ontario,0.54684,0.007317,20200612
43,Canada,Ontario,0.519814,0.002563,20200613
44,Canada,Ontario,0.556512,0.001719,20200614
45,Canada,Ontario,0.56824,0.003375,20200615
46,Canada,Ontario,0.584917,0.000934,20200616
47,Canada,Ontario,0.55041,0.0,20200617
48,Canada,Ontario,0.567702,0.0,20200618
49,Canada,Ontario,0.525636,0.005426,20200619
50,Canada,Ontario,0.590279,0.0,20200620
51,Canada,Ontario,0.588419,0.001733,20200621
52,Canada,Ontario,0.584661,0.001457,20200622
53,Canada,Ontario,0.613384,0.010875,20200623
54,Canada,Ontario,0.577283,0.0,20200624
55,Canada,Ontario,0.596293,0.0,20200625
56,Canada,Ontario,0.58943,0.001926,20200626
57,Canada,Ontario,0.635642,0.009651,20200627
58,Canada,Ontario,0.589922,0.000378,20200628
59,Canada,Ontario,0.61281,0.0,20200629
60,Canada,Ontario,0.599229,0.00381,20200630
