,country_x,region_x,percent_mc,percent_cli,survey_date
0,Germany,Berlin,0.597889,0.002773,20200501
1,Germany,Berlin,0.611467,0.004447,20200502
2,Germany,Berlin,0.657534,0.003535,20200503
3,Germany,Berlin,0.692685,0.004611,20200504
4,Germany,Berlin,0.664506,0.002154,20200505
5,Germany,Berlin,0.716551,0.002084,20200506
6,Germany,Berlin,0.75373,0.004081,20200507
7,Germany,Berlin,0.695143,0.00332,20200508
8,Germany,Berlin,0.686877,0.0,20200509
9,Germany,Berlin,0.738234,0.0,20200510
10,Germany,Berlin,0.711102,0.001866,20200511
11,Germany,Berlin,0.722585,0.00113,20200512
12,Germany,Berlin,0.699448,0.001556,20200513
13,Germany,Berlin,0.6751,0.00255,20200514
14,Germany,Berlin,0.801378,0.002701,20200515
15,Germany,Berlin,0.741731,0.001325,20200516
16,Germany,Berlin,0.760267,0.002365,20200517
17,Germany,Berlin,0.801311,0.018685,20200518
18,Germany,Berlin,0.7337,0.00267,20200519
19,Germany,Berlin,0.749508,0.014886,20200520
20,Germany,Berlin,0.729441,0.0,20200521
21,Germany,Berlin,0.735995,0.000524,20200522
22,Germany,Berlin,0.809992,0.007618,20200523
23,Germany,Berlin,0.789769,0.005349,20200524
24,Germany,Berlin,0.760838,0.003619,20200525
25,Germany,Berlin,0.776951,0.0,20200526
26,Germany,Berlin,0.778725,0.0,20200527
27,Germany,Berlin,0.790038,0.00664,20200528
28,Germany,Berlin,0.786273,0.0,20200529
29,Germany,Berlin,0.78314,0.00148,20200530
30,Germany,Berlin,0.726482,0.005312,20200531
31,Germany,Berlin,0.745593,0.006591,20200601
32,Germany,Berlin,0.740581,0.001086,20200602
33,Germany,Berlin,0.741523,0.000771,20200603
34,Germany,Berlin,0.765808,0.000955,20200604
35,Germany,Berlin,0.789294,0.001262,20200605
36,Germany,Berlin,0.77417,0.002619,20200606
37,Germany,Berlin,0.818013,0.006777,20200607
38,Germany,Berlin,0.766769,0.0,20200608
39,Germany,Berlin,0.82762,0.0,20200609
40,Germany,Berlin,0.837734,0.0,20200610
41,Germany,Berlin,0.811476,0.0,20200611
42,Germany,Berlin,0.759345,0.011714,20200612
43,Germany,Berlin,0.819426,0.0,20200613
44,Germany,Berlin,0.740826,0.004571,20200614
45,Germany,Berlin,0.718338,0.0,20200615
46,Germany,Berlin,0.778984,0.007852,20200616
47,Germany,Berlin,0.819222,0.0,20200617
48,Germany,Berlin,0.847268,0.001726,20200618
49,Germany,Berlin,0.793468,0.008782,20200619
50,Germany,Berlin,0.851186,0.0,20200620
51,Germany,Berlin,0.801279,0.00303,20200621
52,Germany,Berlin,0.831905,0.004648,20200622
53,Germany,Berlin,0.793623,0.002694,20200623
54,Germany,Berlin,0.776986,0.0,20200624
55,Germany,Berlin,0.823792,0.0,20200625
56,Germany,Berlin,0.835497,0.0,20200626
57,Germany,Berlin,0.830302,0.002865,20200627
58,Germany,Berlin,0.728215,0.001889,20200628
59,Germany,Berlin,0.72667,0.0,20200629
60,Germany,Berlin,0.74748,0.001702,20200630
61,Germany,Berlin,0.762763,0.0,20200701
62,Germany,Berlin,0.760108,0.005394,20200702
63,Germany,Berlin,0.704615,0.00484,20200703
64,Germany,Berlin,0.796423,0.014202,20200704
65,Germany,Berlin,0.702917,0.0,20200705
66,Germany,Berlin,0.824903,0.005001,20200706
67,Germany,Berlin,0.808131,0.001732,20200707
68,Germany,Berlin,0.691229,0.002874,20200708
69,Germany,Berlin,0.811639,0.001194,20200709
70,Germany,Berlin,0.835834,0.0,20200710
71,Germany,Berlin,0.780083,0.014751,20200711
72,Germany,Berlin,0.752078,0.0,20200712
73,Germany,Berlin,0.784584,0.0,20200713
74,Germany,Berlin,0.706764,0.004957,20200714
75,Germany,Berlin,0.711655,0.004427,20200715
76,Germany,Berlin,0.790034,0.004994,20200716
77,Germany,Berlin,0.758596,0.0,20200717
78,Germany,Berlin,0.788694,0.005795,20200718
79,Germany,Berlin,0.816806,0.008668,20200719
80,Germany,Berlin,0.795609,0.0,20200720
81,Germany,Berlin,0.812023,0.001682,20200721
82,Germany,Berlin,0.770107,0.023994,20200722
83,Germany,Berlin,0.808605,0.0,20200723
84,Germany,Berlin,0.746281,0.0,20200724
85,Germany,Berlin,0.768834,0.00501,20200725
86,Germany,Berlin,0.761031,0.001518,20200726
87,Germany,Berlin,0.764912,0.005975,20200727
88,Germany,Berlin,0.766691,0.005241,20200728
89,Germany,Berlin,0.768929,0.0,20200729
90,Germany,Berlin,0.824515,0.011881,20200730
91,Germany,Berlin,0.829109,0.0,20200731
92,Germany,Berlin,0.841973,0.004268,20200801
93,Germany,Berlin,0.831512,0.008267,20200802
94,Germany,Berlin,0.791271,0.0,20200803
95,Germany,Berlin,0.848506,0.010859,20200804
96,Germany,Berlin,0.76928,0.001215,20200805
97,Germany,Berlin,0.783726,0.0,20200806
98,Germany,Berlin,0.805252,0.004639,20200807
99,Germany,Berlin,0.800767,0.0,20200808
100,Germany,Berlin,0.803445,0.002094,20200809
101,Germany,Berlin,0.785315,0.008113,20200810
102,Germany,Berlin,0.741344,0.002558,20200811
103,Germany,Berlin,0.795521,0.001408,20200812
104,Germany,Berlin,0.826792,0.012263,20200813
105,Germany,Berlin,0.836171,0.008873,20200814
106,Germany,Berlin,0.795031,0.002118,20200815
107,Germany,Berlin,0.81319,0.003642,20200816
108,Germany,Berlin,0.753108,0.001324,20200817
109,Germany,Berlin,0.776412,0.004912,20200818
110,Germany,Berlin,0.766744,0.0,20200819
111,Germany,Berlin,0.761067,0.000857,20200820
112,Germany,Berlin,0.827616,0.002029,20200821
113,Germany,Berlin,0.846844,0.002362,20200822
114,Germany,Berlin,0.814744,0.001213,20200823
115,Germany,Berlin,0.783926,0.001142,20200824
116,Germany,Berlin,0.813166,0.020106,20200825
117,Germany,Berlin,0.847874,0.001691,20200826
118,Germany,Berlin,0.787579,0.009352,20200827
119,Germany,Berlin,0.835105,0.005002,20200828
120,Germany,Berlin,0.844975,0.001846,20200829
121,Germany,Berlin,0.788134,0.001703,20200830
122,Germany,Berlin,0.731454,0.004464,20200831
123,Germany,Berlin,0.827386,0.003646,20200901
124,Germany,Berlin,0.856664,0.0,20200902
125,Germany,Berlin,0.786537,0.012436,20200903
126,Germany,Berlin,0.795497,0.0,20200904
127,Germany,Berlin,0.805505,0.005222,20200905
128,Germany,Berlin,0.803389,0.0,20200906
129,Germany,Berlin,0.757507,0.004902,20200907
130,Germany,Berlin,0.753091,0.004087,20200908
131,Germany,Berlin,0.838499,0.002551,20200909
132,Germany,Berlin,0.845879,0.005215,20200910
133,Germany,Berlin,0.844705,0.0094,20200911
134,Germany,Berlin,0.866404,0.001479,20200912
135,Germany,Berlin,0.826628,0.023503,20200913
136,Germany,Berlin,0.808035,0.00531,20200914
137,Germany,Berlin,0.775963,0.0,20200915
138,Germany,Berlin,0.81997,0.0,20200916
139,Germany,Berlin,0.829172,0.003384,20200917
140,Germany,Berlin,0.889021,0.0,20200918
141,Germany,Berlin,0.839511,0.002391,20200919
142,Germany,Berlin,0.833203,0.002126,20200920
143,Germany,Berlin,0.781738,0.001877,20200921
144,Germany,Berlin,0.784281,0.025709,20200922
145,Germany,Berlin,0.827993,0.002813,20200923
146,Germany,Berlin,0.814029,0.010731,20200924
147,Germany,Berlin,0.844121,0.003058,20200925
