,country_x,region_x,percent_mc,percent_cli,survey_date
0,Japan,Tokyo,0.960068,0.019789,20200501
1,Japan,Tokyo,0.945816,0.006454,20200502
2,Japan,Tokyo,0.927144,0.008173,20200503
3,Japan,Tokyo,0.905823,0.005995,20200504
4,Japan,Tokyo,0.880541,0.014176,20200505
5,Japan,Tokyo,0.899238,0.006615,20200506
6,Japan,Tokyo,0.904089,0.003364,20200507
7,Japan,Tokyo,0.918518,0.005985,20200508
8,Japan,Tokyo,0.928461,0.005715,20200509
9,Japan,Tokyo,0.912014,0.002447,20200510
10,Japan,Tokyo,0.924882,0.004378,20200511
11,Japan,Tokyo,0.925074,0.008303,20200512
12,Japan,Tokyo,0.951372,0.005296,20200513
13,Japan,Tokyo,0.912834,0.005089,20200514
14,Japan,Tokyo,0.949503,0.0059,20200515
15,Japan,Tokyo,0.925824,0.004984,20200516
16,Japan,Tokyo,0.943296,0.003421,20200517
17,Japan,Tokyo,0.949408,0.005435,20200518
18,Japan,Tokyo,0.925311,0.006309,20200519
19,Japan,Tokyo,0.916864,0.002315,20200520
20,Japan,Tokyo,0.9414,0.002977,20200521
21,Japan,Tokyo,0.925317,0.005046,20200522
22,Japan,Tokyo,0.949774,0.004734,20200523
23,Japan,Tokyo,0.936227,0.005621,20200524
24,Japan,Tokyo,0.931053,0.002903,20200525
25,Japan,Tokyo,0.948478,0.008581,20200526
26,Japan,Tokyo,0.938411,0.001803,20200527
27,Japan,Tokyo,0.938626,0.002788,20200528
28,Japan,Tokyo,0.934888,0.002985,20200529
29,Japan,Tokyo,0.944358,0.004367,20200530
30,Japan,Tokyo,0.940862,0.002176,20200531
31,Japan,Tokyo,0.940389,0.000871,20200601
32,Japan,Tokyo,0.93612,0.005244,20200602
33,Japan,Tokyo,0.952713,0.001514,20200603
34,Japan,Tokyo,0.944392,0.002194,20200604
35,Japan,Tokyo,0.965773,0.000763,20200605
36,Japan,Tokyo,0.942074,0.004105,20200606
37,Japan,Tokyo,0.963735,0.001791,20200607
38,Japan,Tokyo,0.948079,0.001602,20200608
39,Japan,Tokyo,0.941637,0.003687,20200609
40,Japan,Tokyo,0.945434,0.008213,20200610
41,Japan,Tokyo,0.952308,0.006063,20200611
42,Japan,Tokyo,0.941529,0.004389,20200612
43,Japan,Tokyo,0.96069,0.003782,20200613
44,Japan,Tokyo,0.94486,0.005098,20200614
45,Japan,Tokyo,0.952323,0.004759,20200615
46,Japan,Tokyo,0.932435,0.003967,20200616
47,Japan,Tokyo,0.953042,0.002419,20200617
48,Japan,Tokyo,0.945859,0.001484,20200618
49,Japan,Tokyo,0.944423,0.001578,20200619
50,Japan,Tokyo,0.940917,0.005136,20200620
51,Japan,Tokyo,0.957223,0.000615,20200621
52,Japan,Tokyo,0.962075,0.001973,20200622
53,Japan,Tokyo,0.953643,0.00111,20200623
54,Japan,Tokyo,0.959396,0.017805,20200624
55,Japan,Tokyo,0.953761,0.003533,20200625
56,Japan,Tokyo,0.966496,0.005672,20200626
57,Japan,Tokyo,0.960444,0.004062,20200627
58,Japan,Tokyo,0.965641,0.003056,20200628
59,Japan,Tokyo,0.952795,0.001509,20200629
60,Japan,Tokyo,0.95771,0.002619,20200630
61,Japan,Tokyo,0.951018,0.003563,20200701
62,Japan,Tokyo,0.957407,0.004321,20200702
63,Japan,Tokyo,0.967745,0.001578,20200703
64,Japan,Tokyo,0.964035,0.006955,20200704
65,Japan,Tokyo,0.963966,0.004867,20200705
66,Japan,Tokyo,0.952149,0.002531,20200706
67,Japan,Tokyo,0.963589,0.005503,20200707
68,Japan,Tokyo,0.970166,0.003011,20200708
69,Japan,Tokyo,0.96226,0.002657,20200709
70,Japan,Tokyo,0.969714,0.00423,20200710
71,Japan,Tokyo,0.962469,0.004114,20200711
72,Japan,Tokyo,0.961486,0.010763,20200712
73,Japan,Tokyo,0.961238,0.004711,20200713
74,Japan,Tokyo,0.953798,0.003668,20200714
75,Japan,Tokyo,0.961414,0.009471,20200715
76,Japan,Tokyo,0.95179,0.00534,20200716
77,Japan,Tokyo,0.976776,0.008443,20200717
78,Japan,Tokyo,0.966117,0.004972,20200718
79,Japan,Tokyo,0.964541,0.003948,20200719
80,Japan,Tokyo,0.969717,0.005015,20200720
81,Japan,Tokyo,0.956929,0.005959,20200721
82,Japan,Tokyo,0.961874,0.002726,20200722
83,Japan,Tokyo,0.957046,0.00485,20200723
84,Japan,Tokyo,0.969297,0.003927,20200724
85,Japan,Tokyo,0.969334,0.002372,20200725
86,Japan,Tokyo,0.970961,0.001911,20200726
87,Japan,Tokyo,0.956693,0.007838,20200727
88,Japan,Tokyo,0.964446,0.013171,20200728
89,Japan,Tokyo,0.960799,0.002772,20200729
90,Japan,Tokyo,0.9593,0.005292,20200730
91,Japan,Tokyo,0.981312,0.002174,20200731
92,Japan,Tokyo,0.973397,0.001663,20200801
93,Japan,Tokyo,0.971888,0.003236,20200802
94,Japan,Tokyo,0.953838,0.002746,20200803
95,Japan,Tokyo,0.974029,0.010119,20200804
96,Japan,Tokyo,0.977264,0.001903,20200805
97,Japan,Tokyo,0.964247,0.004327,20200806
98,Japan,Tokyo,0.964328,0.008544,20200807
99,Japan,Tokyo,0.968397,0.001368,20200808
100,Japan,Tokyo,0.961089,0.002207,20200809
101,Japan,Tokyo,0.964432,0.002637,20200810
102,Japan,Tokyo,0.974141,0.002208,20200811
103,Japan,Tokyo,0.969024,0.001918,20200812
104,Japan,Tokyo,0.961388,0.002903,20200813
105,Japan,Tokyo,0.97157,0.004284,20200814
106,Japan,Tokyo,0.960266,0.006215,20200815
107,Japan,Tokyo,0.964897,0.001761,20200816
108,Japan,Tokyo,0.946594,0.002325,20200817
109,Japan,Tokyo,0.95578,0.000999,20200818
110,Japan,Tokyo,0.953337,0.001896,20200819
111,Japan,Tokyo,0.965602,0.00832,20200820
112,Japan,Tokyo,0.973831,0.006957,20200821
113,Japan,Tokyo,0.955289,0.00677,20200822
114,Japan,Tokyo,0.980471,0.003259,20200823
115,Japan,Tokyo,0.961593,0.004176,20200824
116,Japan,Tokyo,0.964531,0.00112,20200825
117,Japan,Tokyo,0.974176,0.002667,20200826
118,Japan,Tokyo,0.970363,0.007635,20200827
119,Japan,Tokyo,0.971305,0.000581,20200828
120,Japan,Tokyo,0.972293,0.002001,20200829
121,Japan,Tokyo,0.966822,0.001066,20200830
122,Japan,Tokyo,0.965832,0.0125,20200831
123,Japan,Tokyo,0.97277,0.004537,20200901
124,Japan,Tokyo,0.957289,0.003754,20200902
125,Japan,Tokyo,0.96741,0.000754,20200903
126,Japan,Tokyo,0.952796,0.003554,20200904
127,Japan,Tokyo,0.968029,0.001552,20200905
128,Japan,Tokyo,0.970811,0.003236,20200906
129,Japan,Tokyo,0.972775,0.006674,20200907
130,Japan,Tokyo,0.961969,0.004539,20200908
131,Japan,Tokyo,0.9459,0.001371,20200909
132,Japan,Tokyo,0.96291,0.00196,20200910
133,Japan,Tokyo,0.964903,0.00495,20200911
134,Japan,Tokyo,0.970493,0.006327,20200912
135,Japan,Tokyo,0.973285,0.001082,20200913
136,Japan,Tokyo,0.95511,0.004624,20200914
137,Japan,Tokyo,0.974562,0.002713,20200915
138,Japan,Tokyo,0.961675,0.003682,20200916
139,Japan,Tokyo,0.961449,0.003192,20200917
140,Japan,Tokyo,0.969559,0.003733,20200918
141,Japan,Tokyo,0.961653,0.001742,20200919
142,Japan,Tokyo,0.967069,0.003575,20200920
143,Japan,Tokyo,0.967638,0.00092,20200921
144,Japan,Tokyo,0.962041,0.003075,20200922
145,Japan,Tokyo,0.955438,0.002124,20200923
146,Japan,Tokyo,0.954432,0.00317,20200924
147,Japan,Tokyo,0.97602,0.004483,20200925
148,Japan,Tokyo,0.981863,0.002724,20200926
149,Japan,Tokyo,0.969946,0.005064,20200927
150,Japan,Tokyo,0.962435,0.002679,20200928
151,Japan,Tokyo,0.966693,0.001496,20200929
152,Japan,Tokyo,0.971821,0.006248,20200930
153,Japan,Tokyo,0.973209,0.003789,20201001
154,Japan,Tokyo,0.947491,0.004295,20201002
155,Japan,Tokyo,0.981985,0.002986,20201003
156,Japan,Tokyo,0.972334,0.008189,20201004
157,Japan,Tokyo,0.971952,0.001014,20201005
158,Japan,Tokyo,0.975915,0.003319,20201006
159,Japan,Tokyo,0.977839,0.000601,20201007
160,Japan,Tokyo,0.969351,0.001429,20201008
161,Japan,Tokyo,0.97179,0.000422,20201009
162,Japan,Tokyo,0.97772,0.00217,20201010
163,Japan,Tokyo,0.98064,0.003334,20201011
164,Japan,Tokyo,0.973584,0.002416,20201012
165,Japan,Tokyo,0.976984,0.002403,20201013
166,Japan,Tokyo,0.981799,0.006442,20201014
167,Japan,Tokyo,0.9814,0.003555,20201015
168,Japan,Tokyo,0.97199,0.009279,20201016
169,Japan,Tokyo,0.978373,0.008635,20201017
170,Japan,Tokyo,0.972222,0.002117,20201018
171,Japan,Tokyo,0.97759,0.000441,20201019
172,Japan,Tokyo,0.977594,0.014323,20201020
173,Japan,Tokyo,0.980615,0.004577,20201021
174,Japan,Tokyo,0.967968,0.011473,20201022
175,Japan,Tokyo,0.967697,0.002531,20201023
176,Japan,Tokyo,0.974831,0.000921,20201024
177,Japan,Tokyo,0.973323,0.001486,20201025
178,Japan,Tokyo,0.968191,0.012965,20201026
179,Japan,Tokyo,0.956138,0.009443,20201027
180,Japan,Tokyo,0.967942,0.002574,20201028
181,Japan,Tokyo,0.973424,0.004446,20201029
182,Japan,Tokyo,0.986477,0.003839,20201030
183,Japan,Tokyo,0.961502,0.000496,20201031
184,Japan,Tokyo,0.96948,0.010716,20201101
185,Japan,Tokyo,0.959301,0.029347,20201102
186,Japan,Tokyo,0.968324,0.006939,20201103
187,Japan,Tokyo,0.982173,0.011274,20201104
188,Japan,Tokyo,0.972645,0.004247,20201105
189,Japan,Tokyo,0.963611,0.000374,20201106
190,Japan,Tokyo,0.972774,0.002844,20201107
191,Japan,Tokyo,0.989219,0.003091,20201108
192,Japan,Tokyo,0.976647,0.011989,20201109
193,Japan,Tokyo,0.97876,0.002322,20201110
194,Japan,Tokyo,0.979945,0.001571,20201111
195,Japan,Tokyo,0.965372,0.003699,20201112
196,Japan,Tokyo,0.977323,0.004705,20201113
197,Japan,Tokyo,0.97626,0.005614,20201114
198,Japan,Tokyo,0.964499,0.001425,20201115
199,Japan,Tokyo,0.986936,0.003987,20201116
200,Japan,Tokyo,0.959447,0.006614,20201117
201,Japan,Tokyo,0.987924,0.001186,20201118
202,Japan,Tokyo,0.970686,0.004853,20201119
203,Japan,Tokyo,0.976495,0.004142,20201120
204,Japan,Tokyo,0.976672,0.002669,20201121
205,Japan,Tokyo,0.979909,0.001955,20201122
206,Japan,Tokyo,0.966119,0.004376,20201123
207,Japan,Tokyo,0.982919,0.002626,20201124
208,Japan,Tokyo,0.979573,0.00741,20201125
209,Japan,Tokyo,0.963734,0.002415,20201126
210,Japan,Tokyo,0.965904,0.002742,20201127
211,Japan,Tokyo,0.991364,0.003023,20201128
212,Japan,Tokyo,0.980796,0.004596,20201129
213,Japan,Tokyo,0.986274,0.003402,20201130
214,Japan,Tokyo,0.977505,0.005125,20201201
215,Japan,Tokyo,0.978543,0.002471,20201202
216,Japan,Tokyo,0.974477,0.001672,20201203
217,Japan,Tokyo,0.98399,0.001857,20201204
218,Japan,Tokyo,0.976145,0.008368,20201205
219,Japan,Tokyo,0.983568,0.002019,20201206
220,Japan,Tokyo,0.976748,0.007984,20201207
221,Japan,Tokyo,0.969109,0.004612,20201208
222,Japan,Tokyo,0.985832,0.001895,20201209
223,Japan,Tokyo,0.977867,0.003941,20201210
224,Japan,Tokyo,0.980393,0.004354,20201211
225,Japan,Tokyo,0.964198,0.003193,20201212
226,Japan,Tokyo,0.974299,0.005608,20201213
227,Japan,Tokyo,0.98612,0.003595,20201214
228,Japan,Tokyo,0.976993,0.002073,20201215
229,Japan,Tokyo,0.980404,0.00555,20201216
230,Japan,Tokyo,0.975665,0.004685,20201217
231,Japan,Tokyo,0.98415,0.00534,20201218
232,Japan,Tokyo,0.980242,0.003008,20201219
233,Japan,Tokyo,0.980569,0.001745,20201220
234,Japan,Tokyo,0.974359,0.003618,20201221
235,Japan,Tokyo,0.975416,0.003304,20201222
236,Japan,Tokyo,0.975536,0.005081,20201223
237,Japan,Tokyo,0.96456,0.006002,20201224
238,Japan,Tokyo,0.980575,0.007235,20201225
239,Japan,Tokyo,0.98953,0.002534,20201226
240,Japan,Tokyo,0.989499,0.003919,20201227
241,Japan,Tokyo,0.977404,0.005127,20201228
242,Japan,Tokyo,0.986036,0.0036,20201229
243,Japan,Tokyo,0.987751,0.013787,20201230
244,Japan,Tokyo,0.984161,0.004977,20201231
245,Japan,Tokyo,0.980582,0.004135,20210101
246,Japan,Tokyo,0.968385,0.006847,20210102
247,Japan,Tokyo,0.980917,0.006978,20210104
248,Japan,Tokyo,0.97812,0.004155,20210105
249,Japan,Tokyo,0.97621,0.006848,20210106
250,Japan,Tokyo,0.979725,0.008686,20210107
251,Japan,Tokyo,0.977352,0.003009,20210108
252,Japan,Tokyo,0.984515,0.003511,20210109
253,Japan,Tokyo,0.987253,0.007149,20210110
254,Japan,Tokyo,0.978132,0.006618,20210111
255,Japan,Tokyo,0.981904,0.00366,20210112
256,Japan,Tokyo,0.970943,0.006236,20210113
257,Japan,Tokyo,0.980331,0.004104,20210114
258,Japan,Tokyo,0.976616,0.003892,20210115
259,Japan,Tokyo,0.970227,0.001218,20210116
260,Japan,Tokyo,0.970581,0.001513,20210117
261,Japan,Tokyo,0.971429,0.005338,20210118
262,Japan,Tokyo,0.980741,0.003404,20210119
263,Japan,Tokyo,0.978502,0.004766,20210120
264,Japan,Tokyo,0.979871,0.00212,20210121
265,Japan,Tokyo,0.966444,0.009319,20210122
266,Japan,Tokyo,0.964956,0.006298,20210123
267,Japan,Tokyo,0.970322,0.00555,20210124
268,Japan,Tokyo,0.976898,0.001264,20210125
269,Japan,Tokyo,0.989339,0.003082,20210126
270,Japan,Tokyo,0.977956,0.005365,20210127
271,Japan,Tokyo,0.981419,0.006282,20210128
272,Japan,Tokyo,0.957071,0.002497,20210129
273,Japan,Tokyo,0.978171,0.003379,20210130
274,Japan,Tokyo,0.984399,0.001962,20210131
275,Japan,Tokyo,0.984774,0.009248,20210201
