country,survey_date
Argentina,308
Australia,308
Bangladesh,308
Belgium,308
Bolivia,308
Brazil,308
Canada,308
Chile,308
Colombia,308
Costa Rica,308
Czech Republic,308
Denmark,308
Dominican Republic,308
Ecuador,308
Egypt,308
El Salvador,308
Finland,308
France,308
Germany,308
Guatemala,308
Hungary,308
India,308
Indonesia,308
Iraq,308
Israel,308
Italy,308
Kenya,308
Malaysia,308
Mexico,308
Netherlands,308
New Zealand,308
Nigeria,308
Norway,308
Pakistan,308
Peru,308
Philippines,308
Poland,308
Portugal,308
"Puerto Rico, U.S.",308
Romania,308
Saudi Arabia,308
Serbia,308
South Africa,308
Spain,308
Sweden,308
Switzerland,308
Taiwan,308
Thailand,308
Tunisia,308
Turkey,308
United Kingdom,308
Uruguay,308
Venezuela,308
Vietnam,308
